Calorias,Tiempo,Peso,Velocidad
483.3,39.5,67.4,10.5
847.7,48.7,75.2,13.4
887.5,37.5,87.7,15.6
506.3,47.8,63.1,9.7
431.2,23.4,72.5,14.7
240.9,14.7,64.5,14.7
690.3,52.7,63.4,12.0
955.7,50.2,81.7,13.5
1006.8,57.3,79.4,12.8
133.2,8.9,63.6,13.6
484.5,33.6,82.5,10.1
242.2,13.4,73.9,14.2
123.0,8.5,76.1,11.0
376.7,28.0,64.8,12.0
899.0,71.8,65.3,11.1
686.1,44.0,69.9,12.9
368.5,30.2,58.6,12.1
554.6,48.0,64.4,10.4
726.4,55.5,66.0,11.5
551.4,40.7,56.5,13.9
1041.5,55.3,70.6,15.4
626.2,67.9,59.2,9.0
1013.2,52.3,71.7,15.6
736.8,50.1,83.0,10.3
858.9,62.4,78.5,10.1
383.0,23.9,78.6,11.8
471.4,28.5,68.5,14.0
563.6,36.0,71.2,12.7
1011.8,59.0,73.0,13.6
614.3,48.1,58.5,12.7
904.1,49.3,81.8,13.0
177.7,14.9,69.8,9.9
341.0,20.6,61.6,15.6
251.7,17.2,57.6,14.7
903.6,59.4,73.6,12.0
375.3,26.9,61.6,13.1
1002.9,54.0,73.3,14.7
136.3,11.2,50.3,14.1
705.2,53.2,83.7,9.2
96.3,8.0,75.1,9.3
168.3,8.5,92.4,12.4
353.8,22.1,68.5,13.5
446.1,31.8,76.8,10.6
130.8,9.2,79.3,10.4
1023.1,79.1,79.6,9.4
330.4,33.2,55.7,10.3
815.2,63.5,65.2,11.4
874.2,69.2,77.9,9.4
191.0,17.8,50.6,12.3
722.4,62.4,60.3,11.1
229.9,12.1,74.8,14.7
1095.4,57.7,71.3,15.4
597.0,46.2,69.9,10.7
777.1,39.6,71.5,15.9
528.6,34.8,75.5,11.7
601.1,47.0,70.0,10.6
854.9,51.7,62.4,15.3
928.9,63.4,69.9,12.1
442.8,32.8,64.4,12.2
575.4,28.5,73.8,15.8
861.1,45.7,71.4,15.3
387.7,24.0,70.9,13.2
351.5,20.9,62.9,15.5
447.6,23.9,80.0,13.6
95.2,5.1,68.8,15.6
629.7,50.3,52.4,13.9
1005.5,92.7,67.3,9.3
664.8,61.6,48.7,12.8
409.1,44.0,59.5,9.1
100.8,6.5,67.3,13.4
769.3,44.8,77.5,12.8
419.7,28.8,60.4,14.0
516.5,39.4,74.6,10.2
851.7,78.0,67.9,9.3
933.0,64.3,63.4,13.3
196.3,10.1,85.3,13.2
232.8,14.6,64.6,14.3
449.8,33.8,77.4,10.0
237.3,16.5,65.2,12.8
377.2,23.4,63.4,14.7
797.7,54.1,60.5,14.1
1063.5,87.7,77.0,9.1
346.6,26.8,81.3,9.2
762.2,49.7,59.5,14.9
261.0,18.8,63.8,12.6
509.4,38.6,57.9,13.2
1130.3,58.8,73.4,15.2
952.6,77.1,77.5,9.2
587.3,58.6,43.6,13.3
361.1,23.2,77.7,11.6
466.8,35.4,76.5,10.0
412.3,21.2,77.3,14.6
190.6,18.3,64.4,9.3
843.7,64.2,55.5,13.7
882.0,51.0,67.9,14.8
623.6,38.8,61.0,15.3
547.3,34.6,69.2,13.3
414.2,32.2,58.4,12.8
1219.9,76.2,80.5,11.5
193.0,11.0,69.5,14.6
674.6,38.6,65.3,15.5
103.4,6.3,68.3,13.9
969.0,76.3,79.0,9.3
150.8,8.0,71.8,15.1
283.3,19.0,73.3,11.8
211.3,14.2,65.4,13.2
441.6,38.9,71.8,9.2
770.1,42.2,91.4,11.6
330.7,18.4,70.3,14.8
1213.8,91.0,80.5,9.6
116.2,9.7,55.6,12.5
349.0,30.8,44.6,14.7
131.1,6.2,92.3,13.2
170.9,9.5,66.1,15.8
614.3,51.5,60.2,11.5
750.7,56.7,64.5,11.9
829.1,65.6,73.0,10.0
118.5,7.5,71.6,12.7
831.3,49.5,62.9,15.5
280.5,18.7,74.7,11.6
75.8,5.7,53.9,14.4
425.5,28.5,65.2,13.3
712.8,45.6,68.4,13.2
946.6,55.7,94.8,10.4
913.0,46.9,77.3,14.6
813.0,67.9,59.3,11.7
286.6,25.9,68.0,9.4
278.5,13.9,76.2,15.3
1133.0,55.6,79.5,14.9
464.3,21.4,84.0,14.9
259.7,15.7,78.5,12.2
158.7,21.1,46.8,9.3
553.8,58.9,53.5,10.2
439.3,29.2,80.5,10.8
464.6,25.9,77.6,13.4
831.5,56.0,66.9,12.9
880.6,71.0,71.3,10.1
613.0,40.3,69.3,12.7
790.5,67.3,51.3,13.3
158.8,11.5,70.8,11.3
1378.1,68.9,94.4,12.3
641.7,44.0,80.3,10.5
1201.6,59.9,80.8,14.4
1098.0,74.8,82.7,10.3
1141.6,50.9,82.7,15.7
911.5,77.7,68.4,9.9
905.5,72.3,68.7,10.6
1224.3,85.0,86.0,9.7
293.3,17.7,60.5,15.9
864.8,67.9,69.3,10.6
197.8,13.7,76.4,10.9
595.4,82.4,42.2,9.9
73.7,4.4,65.8,14.7
1018.3,68.1,71.2,12.2
362.5,21.7,65.7,14.7
815.7,66.1,53.8,13.3
360.8,24.2,54.6,15.8
972.1,70.0,84.0,9.6
796.6,48.1,71.2,13.5
292.5,24.8,56.9,12.0
1011.3,65.0,66.6,13.5
940.9,59.4,77.6,11.8
211.0,16.5,49.4,15.0
570.9,37.4,63.1,14.0
554.1,44.3,80.2,9.0
290.4,22.4,59.2,12.7
452.3,35.9,68.0,10.7
517.0,27.2,83.2,13.2
253.2,15.4,64.4,14.7
716.6,50.1,79.1,10.5
512.3,38.3,75.4,10.3
650.4,29.5,80.4,15.9
463.3,33.2,60.5,13.4
330.1,15.8,77.5,15.7
603.7,43.5,52.0,15.5
1002.8,77.3,77.8,9.7
741.2,49.9,58.0,14.8
269.5,15.4,68.5,14.8
349.0,24.0,63.6,13.3
618.7,49.7,66.6,10.8
728.1,58.0,66.6,10.9
857.4,53.3,71.2,13.1
1156.0,86.3,76.6,10.1
337.1,23.2,67.5,12.5
246.5,20.8,65.6,10.5
1065.9,84.7,80.5,9.1
309.9,23.0,70.2,11.1
878.4,46.7,77.6,14.0
965.8,55.3,75.8,13.4
1132.1,56.5,81.2,14.3
622.3,48.4,59.2,12.6
778.0,47.7,64.8,14.6
174.5,9.1,73.4,15.1
367.5,31.8,69.5,9.6
464.9,32.6,87.8,9.4
652.6,51.6,74.0,9.9
620.4,34.4,83.4,12.5
809.6,75.0,67.2,9.3
449.7,34.2,64.8,11.7
462.0,44.2,59.0,10.3
534.5,33.2,73.1,12.7
810.9,47.7,66.1,14.9
794.8,61.7,65.1,11.5
185.9,10.3,69.7,15.0
755.6,47.3,64.9,14.3
760.1,56.9,77.4,10.0
718.1,62.9,66.6,9.9
1142.6,61.9,75.9,14.1
474.4,29.3,66.7,14.0
614.7,50.2,71.8,9.9
419.8,33.0,77.0,9.6
429.2,41.1,66.6,9.1
518.1,30.5,76.6,12.8
779.0,54.4,57.0,14.6
562.1,27.2,76.4,15.6
850.2,47.1,72.2,14.5
834.2,70.4,64.2,10.7
1213.4,75.0,83.9,11.2
444.3,38.2,53.6,12.5
1096.1,83.4,73.3,10.4
1106.0,60.8,74.1,14.2
471.2,18.9,93.2,15.5
513.8,34.0,59.5,14.7
764.6,77.7,52.0,11.0
755.2,47.0,61.9,15.0
598.1,46.8,77.8,9.5
845.1,61.8,70.1,11.3
945.9,86.2,67.5,9.4
958.2,48.8,78.5,14.5
834.9,47.9,71.8,14.1
699.6,33.0,84.4,14.5
503.0,37.4,68.5,11.4
1028.8,58.7,74.3,13.7
464.8,33.9,69.2,11.5
544.9,32.4,62.4,15.6
293.6,17.0,69.0,14.5
850.4,48.5,73.2,13.9
723.9,51.8,75.7,10.7
119.3,10.2,55.0,12.3
549.0,38.3,60.5,13.7
339.5,27.2,61.8,11.7
639.6,36.6,71.9,14.1
333.4,26.9,68.8,10.4
875.5,65.3,64.7,12.0
203.8,16.1,56.3,13.0
142.9,13.3,58.6,10.6
691.8,39.3,65.0,15.7
799.8,63.7,67.9,10.7
622.1,49.5,74.0,9.8
361.1,19.3,72.2,15.0
1047.5,76.0,68.6,11.6
512.7,22.8,86.4,15.1
311.1,20.1,70.3,12.8
129.3,7.0,68.3,15.8
483.7,30.6,71.3,12.8
678.9,47.7,61.1,13.5
648.7,68.1,59.6,9.3
205.1,10.6,74.5,15.0
991.2,62.3,65.0,14.2
147.9,12.2,77.1,9.1
292.8,28.5,58.2,10.2
339.0,19.4,77.2,13.1
714.0,41.1,64.0,15.7
701.5,38.8,70.1,14.9
710.1,52.4,66.4,11.8
291.9,17.3,62.4,15.7
778.9,63.9,66.0,10.7
480.6,33.6,51.8,16.0
331.7,30.5,65.6,9.6
740.8,42.3,75.2,13.5
352.1,19.2,70.7,15.0
233.2,14.9,61.9,14.6
848.8,54.3,61.5,14.7
142.8,9.0,61.0,15.1
910.7,58.0,66.5,13.7
1064.5,59.9,79.4,13.0
368.9,19.2,75.1,14.8
238.8,11.5,79.4,15.1
129.3,8.4,70.8,12.6
467.2,36.6,79.2,9.3
1269.6,55.9,83.4,15.8
805.1,84.6,54.0,10.2
752.0,73.9,63.0,9.4
899.3,58.9,73.9,12.0
732.1,59.7,64.0,11.1
179.7,11.3,63.9,14.3
250.5,16.3,82.6,10.7
265.6,24.7,59.5,10.5
333.2,25.5,54.3,13.9
782.7,61.0,59.9,12.4
778.9,49.7,57.0,15.9
1193.3,78.3,80.1,11.0
1058.2,66.8,79.1,11.6
485.7,26.6,83.5,12.7
156.3,15.1,48.9,12.3
614.5,29.5,82.5,14.6
806.4,47.5,74.0,13.3
236.5,19.9,49.2,14.0
880.5,49.8,92.1,11.1
388.6,22.9,81.9,12.0
374.8,28.5,66.5,11.5
614.2,51.3,58.5,11.9
605.0,32.8,71.1,15.0
254.5,21.4,75.2,9.2
814.4,70.0,69.4,9.7
889.9,45.2,77.0,14.8
142.0,9.8,84.9,9.8
1046.5,84.9,68.2,10.5
202.2,12.2,89.8,10.6
583.5,29.3,76.7,15.0
503.6,31.8,93.7,9.8
989.7,55.8,65.7,15.6
671.5,43.8,62.6,14.2
837.4,74.7,69.2,9.4
667.9,50.9,76.3,10.0
1289.9,63.7,85.4,13.7
153.0,10.5,79.4,10.7
731.1,51.8,79.8,10.2
546.8,35.9,65.1,13.5
130.1,8.9,63.1,13.4
803.8,53.0,63.1,13.9
1085.9,74.5,83.9,10.1
780.0,58.7,52.6,14.6
475.0,32.1,81.4,10.5
1105.8,69.2,71.6,12.9
255.8,16.3,82.9,10.9
126.0,8.5,62.9,13.6
105.0,9.6,59.1,10.7
564.0,44.5,72.5,10.1
584.0,44.7,72.0,10.5
1348.4,89.2,88.9,9.8
167.8,10.8,71.7,12.6
859.0,61.0,76.8,10.6
885.6,43.1,75.4,15.8
483.2,32.4,67.4,12.8
723.5,38.2,73.6,14.9
179.0,11.7,79.6,11.1
183.5,9.7,74.7,14.6
435.7,22.3,71.2,15.9
1016.2,66.9,69.2,12.7
427.4,29.0,74.2,11.5
662.9,48.5,73.7,10.7
407.0,29.8,64.5,12.3
119.9,9.4,74.4,9.9
480.5,27.1,66.2,15.5
574.3,55.5,64.0,9.4
652.8,49.0,70.9,10.9
952.2,66.2,67.5,12.3
430.9,31.4,67.3,11.8
670.5,63.3,64.4,9.5
334.6,27.2,76.1,9.4
923.3,58.3,78.7,11.7
468.1,43.5,69.2,9.0
743.8,68.1,60.8,10.4
867.3,59.9,72.6,11.5
656.9,38.6,74.3,13.3
887.0,49.6,75.3,13.8
831.1,72.3,67.9,9.8
885.1,66.1,70.3,11.0
188.4,16.0,67.2,10.2
126.7,6.2,80.1,14.8
671.9,43.7,84.1,10.6
1213.8,82.8,84.3,10.1
78.7,8.0,61.7,9.2
391.6,31.1,75.9,9.6
443.8,24.8,68.5,15.1
559.6,45.3,74.8,9.6
814.5,56.4,71.8,11.6
651.6,35.0,69.5,15.5
475.5,37.3,79.9,9.2
719.7,81.2,51.6,9.9
827.1,60.4,66.8,11.9
803.3,56.6,62.5,13.2
1121.8,74.5,81.0,10.8
601.3,46.1,64.1,11.8
806.8,48.8,72.5,13.2
799.9,36.5,80.0,15.9
525.5,38.2,77.8,10.2
494.7,29.1,69.0,14.3
165.7,10.7,79.3,11.3
383.8,22.7,62.0,15.8
1068.6,78.8,70.1,11.2
181.4,18.1,54.5,10.7
423.2,33.4,62.4,11.8
101.1,5.8,64.3,15.7
546.4,43.0,78.5,9.4
651.5,41.1,74.6,12.3
607.3,50.3,53.2,13.2
445.6,26.2,65.5,15.0
480.8,44.3,55.3,11.4
526.7,27.5,70.2,15.8
169.6,15.8,63.5,9.8
336.0,21.1,72.0,12.8
795.6,60.1,61.1,12.5
122.5,8.0,72.5,12.2
462.7,29.5,63.5,14.3
777.9,50.2,76.7,11.7
112.7,9.2,53.5,13.3
308.2,19.3,73.2,12.6
870.0,58.2,79.5,10.9
448.9,32.6,61.8,12.9
853.5,50.8,69.8,13.9
307.2,31.6,59.2,9.5
960.9,65.2,68.7,12.4
573.6,54.0,68.2,9.0
519.3,43.8,64.5,10.7
407.1,38.7,51.9,11.7
587.7,45.9,75.8,9.8
842.9,55.7,55.9,15.7
970.6,59.4,88.5,10.7
473.1,27.0,63.6,16.0
174.0,9.4,68.8,15.5
1010.0,65.1,72.5,12.4
1025.8,63.0,86.6,10.9
1065.8,61.4,71.6,14.1
407.5,27.3,86.1,10.0
241.2,19.1,55.3,13.3
252.1,17.6,71.6,11.6
462.6,35.9,63.1,11.8
800.9,45.6,69.5,14.6
1084.6,90.4,74.8,9.3
149.7,12.5,74.4,9.4
132.8,7.6,77.1,13.1
800.0,53.2,83.1,10.5
1156.5,56.4,80.5,14.8
903.6,60.1,84.1,10.4
844.5,58.8,59.6,14.0
232.5,17.7,68.3,11.2
368.2,31.3,65.6,10.4
992.5,83.0,73.7,9.4
599.9,40.2,68.7,12.6
401.9,22.7,66.2,15.5
121.0,6.6,67.0,15.7
534.9,27.2,79.1,14.4
636.6,58.4,42.6,14.8
999.3,86.4,69.6,9.6
480.7,32.7,66.5,12.8
461.5,28.9,60.7,15.2
305.1,26.1,69.8,9.7
947.9,54.8,80.5,12.5
1092.4,52.6,83.8,14.4
96.2,5.9,65.8,14.5
407.0,26.2,67.8,13.3
386.3,20.9,71.2,15.0
444.6,20.7,81.7,15.3
631.5,32.8,73.3,15.2
256.3,19.7,72.7,10.4
495.1,39.3,57.6,12.7
125.5,8.9,80.6,10.1
721.8,32.6,82.6,15.5
565.3,34.4,68.3,13.9
913.9,59.8,73.0,12.1
493.2,48.7,61.8,9.5
695.2,44.4,58.1,15.6
142.4,10.2,87.9,9.2
1049.0,53.6,82.8,13.7
981.3,66.5,78.2,10.9
896.0,51.9,79.3,12.6
1051.6,60.0,73.7,13.8
699.9,47.1,77.1,11.1
318.4,18.3,71.7,14.0
569.1,29.3,72.4,15.5
533.8,43.6,65.3,10.9
227.7,11.2,89.7,13.1
374.8,41.0,46.3,11.4
318.9,22.0,63.0,13.3
369.8,38.7,52.1,10.6
733.0,42.9,69.3,14.3
766.5,45.1,76.7,12.8
266.6,25.0,67.0,9.2
857.8,53.3,69.9,13.3
736.7,44.5,78.2,12.3
320.8,17.0,70.0,15.6
274.6,16.3,66.5,14.7
647.2,61.3,62.6,9.8
553.6,31.2,73.0,14.1
797.1,79.1,58.6,10.0
631.4,49.5,57.6,12.8
163.5,11.5,85.8,9.6
789.1,45.8,76.6,13.0
300.9,18.1,65.8,14.6
277.3,21.3,69.0,10.9
283.2,19.7,80.9,10.3
157.6,9.8,74.7,12.5
328.3,17.0,73.6,15.2
250.2,19.2,52.8,14.3
351.0,31.3,66.2,9.8
728.2,41.5,81.1,12.5
101.8,8.2,49.6,14.5
465.3,32.8,63.6,12.9
865.6,47.4,73.3,14.4
353.4,25.1,75.5,10.8
245.2,20.4,71.8,9.7
268.6,13.9,70.3,16.0
894.8,66.1,70.5,11.1
346.7,25.0,77.8,10.3
552.3,53.2,65.5,9.2
439.8,29.8,90.6,9.4
143.1,10.6,84.6,9.3
185.6,9.2,84.5,13.9
608.3,30.5,79.4,14.5
727.4,55.6,62.5,12.1
807.2,49.9,66.5,14.1
244.0,15.1,77.0,12.2
446.2,42.7,61.7,9.8
693.9,39.1,69.7,14.8
501.3,49.8,60.0,9.7
211.0,13.8,60.4,14.7
1002.6,82.0,76.4,9.3
983.0,78.8,68.9,10.5
288.7,14.6,72.0,15.9
887.0,57.4,62.5,14.3
409.9,30.4,64.8,12.0
83.0,8.4,56.9,10.0
896.4,48.0,72.0,15.0
1001.7,54.9,71.3,14.8
698.9,39.0,65.5,15.8
324.8,24.6,59.5,12.8
709.3,48.8,70.5,11.9
820.1,63.0,66.3,11.4
623.7,29.9,79.4,15.2
233.6,11.5,74.1,15.9
416.0,38.2,62.4,10.1
498.1,44.1,58.9,11.1
824.4,46.6,69.1,14.8
1009.2,66.4,70.5,12.5
70.8,5.8,62.5,11.3
892.8,53.5,72.0,13.4
744.0,53.0,60.7,13.4
561.0,39.2,68.6,12.1
490.5,26.9,75.3,14.0
1139.1,78.0,76.1,11.1
215.1,15.7,52.7,15.0
476.6,38.7,56.9,12.5
131.8,6.8,80.6,13.9
384.9,23.8,60.1,15.6
250.4,20.9,67.7,10.2
768.2,54.4,74.2,11.0
788.1,33.1,87.4,15.8
521.2,33.8,73.3,12.2
693.0,44.2,89.1,10.2
835.4,49.9,74.2,13.1
667.5,37.8,77.4,13.2
206.8,11.4,69.1,15.3
153.8,11.9,49.7,15.1
399.1,23.0,63.7,15.8
614.5,48.1,63.8,11.6
92.0,5.8,60.0,15.3
701.9,53.1,56.4,13.6
230.8,19.5,74.9,9.2
124.1,11.0,65.1,10.1
250.6,20.2,73.8,9.7
606.1,33.9,68.5,15.1
712.8,50.5,57.9,14.1
565.0,31.8,72.5,14.2
438.1,30.5,55.4,15.0
388.7,26.5,70.2,12.1
209.7,13.7,73.5,12.1
296.1,21.8,73.6,10.7
267.7,22.9,52.7,12.9
634.6,36.6,75.5,13.3
155.2,10.3,55.2,15.8
233.5,14.2,73.2,13.0
746.4,43.2,74.0,13.5
244.9,13.7,73.9,14.0
903.9,61.2,71.6,12.0
364.6,23.7,76.7,11.6
788.1,56.6,64.3,12.5
483.5,27.2,69.3,14.8
766.1,48.5,59.3,15.5
426.3,31.9,73.0,10.6
610.3,49.3,56.1,12.8
970.0,55.6,82.8,12.2
573.6,44.0,62.1,12.2
656.3,56.3,69.3,9.7
1007.5,75.4,74.3,10.4
450.2,38.8,64.8,10.4
874.7,75.4,56.8,11.8
1063.0,51.0,76.4,15.8
409.1,22.7,93.0,11.2
889.6,58.8,69.6,12.6
1177.5,77.3,80.8,10.9
125.4,9.8,67.9,10.9
791.7,59.8,71.8,10.7
445.7,40.5,49.5,12.9
218.5,13.6,67.4,13.8
984.2,67.6,73.9,11.4
235.0,23.6,55.8,10.3
871.5,54.8,79.9,11.5
686.2,52.5,63.7,11.9
387.7,21.1,74.6,14.2
237.1,18.8,70.2,10.4
758.1,73.2,63.8,9.4
267.1,24.0,67.4,9.6
492.2,40.5,68.7,10.3
670.4,52.2,75.0,9.9
1180.5,84.2,82.2,9.9
920.8,70.0,73.2,10.4
557.9,28.0,82.8,13.9
1090.0,86.1,80.7,9.1
198.8,10.7,68.0,15.8
407.1,23.7,78.4,12.7
201.7,20.7,57.2,9.8
701.2,45.6,68.2,13.1
269.7,16.9,58.8,15.7
170.0,23.5,44.6,9.4
259.1,18.0,67.1,12.4
556.6,31.1,84.8,12.2
501.9,56.9,50.2,10.2
411.5,28.1,56.2,15.1
561.9,54.2,58.5,10.3
658.3,42.0,72.6,12.5
222.4,14.9,62.8,13.8
450.4,35.6,58.7,12.5
324.7,24.3,80.4,9.6
881.3,49.5,69.7,14.8
530.8,52.9,54.2,10.7
199.8,8.6,90.6,14.9
331.4,16.3,81.2,14.5
874.9,73.4,73.1,9.4
498.3,37.1,66.1,11.8
563.0,38.2,76.7,11.1
442.2,32.7,77.8,10.1
84.2,5.8,65.0,13.0
957.5,68.8,72.7,11.1
851.5,45.3,74.5,14.6
128.7,6.3,86.0,13.8
1165.5,55.1,84.5,14.5
325.7,17.4,72.7,14.9
796.7,61.4,59.0,12.7
604.1,45.2,61.4,12.6
986.6,57.0,65.3,15.4
1070.7,67.8,88.9,10.3
565.7,43.2,66.1,11.5
363.7,20.9,63.9,15.8
374.1,25.4,66.2,12.9
125.0,6.8,69.2,15.4
438.6,46.1,59.0,9.3
692.9,47.9,65.5,12.8
774.9,50.4,66.7,13.3
647.5,46.3,54.5,14.8
687.8,38.0,68.2,15.4
742.8,76.8,56.7,9.9
276.3,18.8,78.9,10.8
394.0,21.3,74.2,14.5
573.1,37.3,79.9,11.1
912.4,61.2,61.7,14.0
434.6,24.7,78.5,13.0
159.6,9.5,68.3,14.2
428.6,22.6,70.3,15.6
721.4,35.1,76.1,15.7
433.4,34.3,64.1,11.4
279.2,19.6,80.2,10.3
772.0,60.7,77.4,9.5
854.3,61.2,80.4,10.1
595.8,46.5,54.5,13.6
733.5,46.5,64.2,14.2
449.7,41.7,66.3,9.4
717.2,42.9,77.4,12.5
513.8,38.4,82.5,9.4
749.7,46.3,69.3,13.5
810.3,56.0,65.9,12.7
1255.6,56.7,81.5,15.7
742.4,63.8,71.3,9.5
574.0,40.0,68.6,12.1
348.8,30.8,51.7,12.7
1084.4,57.8,91.3,11.9
1187.1,63.9,76.5,14.1
1095.2,65.0,79.8,12.2
101.8,6.0,71.9,13.8
754.1,67.7,57.6,11.2
391.3,22.4,74.8,13.5
553.1,29.9,73.8,14.5
677.2,52.0,61.9,12.2
1031.5,67.8,76.7,11.5
309.9,18.6,78.1,12.3
176.0,21.6,46.4,10.2
120.8,7.5,61.0,15.2
707.6,67.4,53.2,11.4
232.1,15.3,61.7,14.2
639.6,42.5,70.5,12.4
896.6,70.6,78.6,9.4
337.0,19.6,75.4,13.2
554.6,38.8,52.4,15.8
678.0,53.3,48.6,15.2
796.2,80.4,59.0,9.7
851.2,45.1,95.9,11.4
162.2,14.8,62.3,10.2
513.0,31.4,65.6,14.4
817.3,71.4,66.9,9.9
774.4,42.8,75.5,13.9
1185.6,81.3,84.4,10.0
416.7,34.3,70.8,9.9
105.0,7.9,70.0,11.1
350.9,25.3,57.5,14.0
529.9,54.1,53.0,10.7
905.2,58.6,62.7,14.3
847.1,56.9,74.6,11.6
653.6,75.4,51.8,9.7
458.2,27.3,78.8,12.3
1099.5,73.8,76.6,11.3
1008.0,72.5,74.6,10.8
942.6,95.3,61.8,9.3
300.4,23.1,69.0,10.9
962.8,86.7,69.2,9.3
892.2,48.1,69.8,15.4
659.1,50.9,74.3,10.1
503.3,34.4,62.1,13.7
1000.8,67.6,74.4,11.5
129.2,8.2,70.6,13.0
84.9,7.7,67.3,9.4
1026.6,56.2,66.9,15.8
1013.4,77.4,68.3,11.1
109.0,7.9,54.1,14.9
